x,y
8,6.8774273250703635
334,330.5522669544257
93,89.05127415822028
86,82.0031873109291
386,382.5868404390959
326,322.54616735730775
216,212.42704935478847
382,378.5844523499016
211,207.41927862940733
251,247.47416429705882
114,110.16374467594564
143,139.27071055188875
225,221.44031317017684
359,355.5698969500911
150,146.2911557094954
9,6.214782667090028
67,62.82802870060241
150,146.2911557094954
154,150.30212808808923
208,204.41446823839348
257,253.48117006197882
288,284.5135076023455
75,70.91159487901982
66,61.81627883668679
170,166.3416118137968
362,358.57187973083995
183,179.3693684631928
269,265.49440889604097
371,367.57767244531357
272,268.49756879866464
134,130.2417792831755
199,195.39932000303304
261,257.48569354821285
262,258.4868067344543
204,200.40787260386517
58,53.70878269178937
98,94.08187125756776
281,277.5067165561892
379,375.5826347216154
340,336.5566887061582
345,341.5602782602739
172,168.34611017288512
172,168.34611017288512
247,243.4693393121284
158,154.31262910216034
236,232.4553827446073
54,49.64383420380251
332,328.55076437141923
319,315.54062790171514
76,71.92090689141033
30,24.89003088569387
103,99.10983902566592
251,247.47416429705882
192,188.38672803451732
303,299.5271932174474
321,317.5422305625268
231,227.44867950207185
284,280.5096603950764
124,120.20546962260849
263,259.48791299125185
373,369.5789290672998
279,275.5047253715239
203,199.40619007779662
39,34.28511712669625
46,41.48142164756646
361,357.57122175645975
280,276.5057238628951
330,326.5492470708641
387,383.5874312527592
389,385.5886055481324
225,221.44031317017684
103,99.10983902566592
168,164.33702375110357
2,7.3140586660031
102,98.10443807732388
270,266.4954685677651
179,175.3611878607611
158,154.31262910216034
6,7.632117897084413
240,236.4605793874994
200,196.4010588978365
28,22.763461771578143
270,266.4954685677651
349,345.5630899449373
142,138.267650558569
318,314.53982044989493
61,56.75218497656084
152,148.29670296110456
85,80.99574415363604
255,251.47886483171663
300,296.5245452845048
149,145.28833487098748
46,41.48142164756646
249,245.471767697021
307,303.5306582584837
161,157.32021503941584
46,41.48142164756646
360,356.5705608367961
51,46.588738595332316
63,58.77895972678118
104,100.11514896605354
244,240.46563560569575
396,392.59264031470354
385,381.58624715905574
256,252.48002113417922
325,321.5453878510529
76,71.92090689141033
256,252.48002113417922
382,378.5844523499016
192,188.38672803451732
153,149.29943051407912
21,15.0760173709195
7,7.338158527263983
143,139.27071055188875
373,369.5789290672998
214,210.4239771148802
347,343.56169064556053
298,294.52275596169017
261,257.48569354821285
199,195.39932000303304
1,6.799845592161965
349,345.5630899449373
25,19.52800242529914
383,379.5850531316999
54,49.64383420380251
388,384.58801961687976
233,229.45138920476788
63,58.77895972678118
34,29.0935196028951
68,63.83945905832871
26,20.613796460817433
307,303.5306582584837
373,369.5789290672998
323,319.5438171242327
314,310.5365490260145
69,64.85058378451794
190,186.3829889901969
116,112.1725857036013
94,90.05762316182329
148,144.2854817728296
286,282.5115949551672
117,113.17690798253997
37,32.2150259208118
242,238.46312465820918
172,168.34611017288512
352,348.565164790528
337,333.554493742564
126,122.21312613532446
41,36.348145529916266
314,310.5365490260145
337,333.554493742564
38,33.25103267704562
74,69.90205447679806
24,18.43323353996477
88,84.01761980254453
291,287.5163363692786
322,318.54302583911186
10,5.27633804617449
185,181.37334769969888
330,326.5492470708641
205,201.40954150466266
278,274.50372102623066
333,329.5515174879108
152,148.29670296110456
262,258.4868067344543
261,257.48569354821285
157,153.31004622221823
251,247.47416429705882
169,165.3393291776018
155,151.30479621825432
21,15.0760173709195
290,286.51539874150586
16,8.973198727557659
27,21.69192981309565
335,331.5530127999685
174,170.3505216637887
186,182.37531050563018
320,316.5414312612616
268,264.4933427684814
353,349.5658500749431
319,315.54062790171514
163,159.32514134037712
77,72.92999926994882
131,127.23138580492449
369,365.57640486549593
326,322.54616735730775
384,380.5856513956433
362,358.57187973083995
13,4.127435727115216
144,140.27373438947032
231,227.44867950207185
258,254.48231169202433
251,247.47416429705882
246,242.46811298309728
351,347.5644763566875
329,325.5484828271535
51,46.588738595332316
255,251.47886483171663
96,92.06996991707244
72,67.88225099390856
386,382.5868404390959
366,362.5744826030026
275,271.5006722970443
298,294.52275596169017
12,0.0
348,344.56239191849636
366,362.5744826030026
